mse_test,mae_test,mape_test,Model
1.9723370577281194,0.6839851024208566,0.08990143831516573,DT
1.8247137057927352,0.6612115676706539,0.08676965246210445,DT10
1.9710053774360878,0.6853952937193161,0.09018531851552321,DT15
1.9733798882681564,0.6865921787709498,0.09023656874721664,DT20
1.9723370577281194,0.6839851024208566,0.08990143831516573,DT25
1.9723370577281194,0.6839851024208566,0.08990143831516573,DT30
0.945190950965455,0.6119421590454287,0.06993055181511376,DT5
1.405113377267046,0.6012748514675891,0.0787937074422919,RF10
1.3547436364563676,0.6028151702580472,0.07735696574880181,RF100
1.348089313572468,0.601655752120835,0.07738222646034311,RF150
1.358078756412888,0.6019892314001937,0.07750185473046471,RF200
1.3470736395513836,0.604559847477166,0.07754914886444138,RF25
1.3584300194995282,0.6014904518045562,0.07764478338618502,RF300
1.3534233564004372,0.6039172607963113,0.07745525313483977,RF50
