mse_test,mae_test,mape_test,Model
0.05036912751677853,0.12953020134228196,0.14341487251714136,DT
0.039296958537988765,0.11743029496049662,0.13018899510286672,DT10
0.050453719239373605,0.13131991051454142,0.1452599657522028,DT15
0.05057046979865772,0.131096196868009,0.14468192904735577,DT20
0.05036912751677853,0.12953020134228196,0.14341487251714136,DT25
0.05036912751677853,0.12953020134228196,0.14341487251714136,DT30
0.02313678693588181,0.1036987763026662,0.10935139996400149,DT5
0.03724255636341039,0.11700484712900823,0.12916426570109948,RF10
0.03726271301793704,0.11778539203153345,0.1306528174842686,RF100
0.037159543079598144,0.1177288643869181,0.13069553617759447,RF150
0.03717588324263591,0.1178500625865555,0.13079302416818497,RF200
0.037143708291304596,0.11720536912751678,0.12982592331015974,RF25
0.037216044538080605,0.11796011446089666,0.1307813064705495,RF300
0.03701481383842651,0.1172070363268352,0.13050044022669466,RF50
