mse_test,mae_test,mape_test,Model
0.2853445065176909,0.2277467411545624,0.10144073847483519,DT
0.2580700648050582,0.2144996375443303,0.09748544973525097,DT10
0.28540037243947863,0.2283054003724395,0.1017304954077789,DT15
0.28545623836126627,0.22886405959031655,0.10198443141590484,DT20
0.2853445065176909,0.2277467411545624,0.10144073847483519,DT25
0.2853445065176909,0.2277467411545624,0.10144073847483519,DT30
0.11436224177713468,0.15154807479704777,0.06957374689116201,DT5
0.18870150273840136,0.1950137447902811,0.09033531039597616,RF10
0.18268833052469294,0.19381135497029334,0.08801262767147665,RF100
0.1818233134448469,0.1940027755608759,0.08847308987429643,RF150
0.18135201343091534,0.1931119490999381,0.0878518439063339,RF200
0.18171949338079618,0.19397210250953276,0.08871565134038668,RF25
0.181518601739599,0.19273957760633786,0.0876632859777466,RF300
0.18149736287342122,0.1933619313647246,0.08795395116085265,RF50
