mse_test,mae_test,mape_test,Model
0.9675598290598292,0.3699145299145301,0.23900106086491876,DT
0.7382283470846089,0.3186794612012261,0.20417747213057083,DT10
0.9150932360588971,0.3561717242568309,0.228885906966562,DT15
0.971514245014245,0.3713675213675216,0.23797532938273583,DT20
0.9679529914529915,0.3692307692307695,0.2385184258404849,DT25
0.9675598290598292,0.3699145299145301,0.23900106086491876,DT30
0.3338685946094269,0.28281303473772673,0.2062529138072785,DT5
0.7133269631480514,0.32581733821733827,0.21647640978541852,RF10
0.6923162714282628,0.32137856871523635,0.210763272392821,RF100
0.6894162485532528,0.32122411364355935,0.20987226649843885,RF150
0.6885683924107823,0.32120800162800206,0.20963150472609213,RF200
0.6963653194074849,0.32178307692307695,0.21271532013751546,RF25
0.6885692769788171,0.3213532271740596,0.20988387627853544,RF300
0.6912334849569617,0.321434343372677,0.21071048195708444,RF50
