mse_test,mae_test,mape_test,Model
406269.9335811965,159.84726495726497,0.18919556989454167,DT
291945.6037280913,143.80864549978102,0.36907818675866483,DT10
305983.184914768,142.9435324985308,0.20385192068813449,DT15
383599.9569615052,155.2031054131054,0.18978604117827588,DT20
406269.9335811965,159.84726495726497,0.18919556989454167,DT25
406269.9335811965,159.84726495726497,0.18919556989454167,DT30
863595.8884818795,403.7078996438037,2.3904122681647384,DT5
508536.0045782916,200.85502865282865,0.2656291811130081,RF10
447206.54924825317,186.17962542565465,0.25927697491464,RF100
427926.3919756137,182.3945145251662,0.2552188868704508,RF150
396686.5350739281,179.16851855209612,0.25336784837691767,RF200
409756.14233984007,185.01174630036624,0.26336578319112025,RF25
380186.4492684432,176.78061933534582,0.25526234868016295,RF300
433383.6356646924,186.41770839777504,0.2632089641548799,RF50
