mse_test,mae_test,mape_test,Model
0.0999529914529914,0.1357264957264989,0.02020666115688127,DT
0.08556551650973211,0.1284084635624687,0.019680637141013806,DT10
0.09440286852597451,0.13263727013727297,0.019884148941680255,DT15
0.10000427350427343,0.13572649572649886,0.020204607075706493,DT20
0.0999529914529914,0.1357264957264989,0.02020666115688127,DT25
0.0999529914529914,0.1357264957264989,0.02020666115688127,DT30
0.06921992286965649,0.13373316960363,0.022827232282615396,DT5
0.06591928824980137,0.11478821733821777,0.017350129980936067,RF10
0.06134821996880089,0.11163014346764583,0.016896528701347082,RF100
0.06141523323196262,0.11154783272283729,0.016872954482466406,RF150
0.061396069619113425,0.11152949616741865,0.016869487816971226,RF200
0.0631608636464715,0.11282089133089196,0.01708064224988338,RF25
0.06154487518130517,0.11142475975670835,0.016845446227802638,RF300
0.06323175439736288,0.11312945665445778,0.01714712147046878,RF50
