mse_test,mae_test,mape_test,Model
0.0056009070294784575,0.03197278911564638,0.07511819246513156,DT
0.005620186436805836,0.03482137884393535,0.08239204967633211,DT10
0.0056009070294784575,0.03197278911564638,0.07511819246513156,DT15
0.0056009070294784575,0.03197278911564638,0.07511819246513156,DT20
0.0056009070294784575,0.03197278911564638,0.07511819246513156,DT25
0.0056009070294784575,0.03197278911564638,0.07511819246513156,DT30
0.005979762074717551,0.04516452120754405,0.10132624054125751,DT5
0.005149433106575963,0.03594104308390028,0.07957138099995258,RF10
0.00462828344671203,0.03293650793650807,0.07478360125639087,RF100
0.004626902494331058,0.03295238095238117,0.0745912404551864,RF150
0.004607058390022649,0.03288095238095262,0.07439792438601989,RF200
0.004796480725623578,0.034022675736961536,0.07721119394588795,RF25
0.0046219584278155345,0.03285336356764965,0.07414660199127342,RF300
0.00470079818594105,0.03340136054421784,0.07546906633301224,RF50
