mse_test,mae_test,mape_test,Model
34.58599145299146,1.9941025641025643,330648895718911.0,DT
30.532146791912197,1.7645392204091663,293773268000783.3,DT10
36.31929855910241,2.00382905982906,330263972673836.6,DT15
34.8327543019943,1.9908205128205128,330648895718911.0,DT20
35.58749732905983,2.035747863247863,330648895718911.0,DT25
34.58599145299146,1.9941025641025643,330648895718911.0,DT30
36.066201514601545,1.9064189863063632,364188507284420.2,DT5
13.94131282051282,1.3863076923076922,408903750782536.75,RF10
12.534429545299142,1.2983931623931622,418099562329364.25,RF100
12.541662957264963,1.2979287749287751,427446776940587.56,RF150
12.479745158119671,1.2966051282051287,431575718137418.8,RF200
13.115729312820514,1.35231452991453,419781676036339.3,RF25
12.361207678062684,1.2918746438746445,429189195257957.5,RF300
12.440573928205124,1.2976854700854699,417880156193671.8,RF50
