mse_test,mae_test,mape_test,Model
0.11682478632478634,0.11777777777777777,0.0687679162391364,DT
0.09771635194118437,0.10667341576622012,0.06326041992415159,DT10
0.11699030652429544,0.11743814664867298,0.0679539440979297,DT15
0.1168415042735043,0.11831794871794875,0.06917673213545103,DT20
0.11733333333333335,0.11854700854700857,0.06890892788655832,DT25
0.11682478632478634,0.11777777777777777,0.0687679162391364,DT30
0.04709116276270096,0.1041059613992324,0.07398511249275913,DT5
0.08975066773358918,0.11301400081400083,0.06861153668988058,RF10
0.08577437452878729,0.10989397876814543,0.06671421552362804,RF100
0.08619967744817192,0.11044196128973909,0.06718092603877664,RF150
0.08601215153567772,0.11031944156152507,0.06701784065177609,RF200
0.08671596207116694,0.11094565730565735,0.06728043233929835,RF25
0.08607188174637075,0.11002289286844874,0.06692826797290587,RF300
0.08728267254982576,0.11092491724325056,0.06742930908008288,RF50
