mse_test,mae_test,mape_test,Model
0.13585195530726246,0.1755121042830657,0.020521359551179782,DT
0.09541053357453529,0.1505952909510527,0.017635679461167588,DT10
0.12525173194674413,0.17072429677546994,0.019958759051465172,DT15
0.13588454376163864,0.1756052141527119,0.020529277057102075,DT20
0.13585195530726246,0.1755121042830657,0.020521359551179782,DT25
0.13585195530726246,0.1755121042830657,0.020521359551179782,DT30
0.0666285181794752,0.1369649569845117,0.01617705309007732,DT5
0.09425183436788748,0.14713966480447085,0.01713713668195192,RF10
0.08924780505510628,0.14772562738317685,0.01721651681336782,RF100
0.08894461158185092,0.14737541012681998,0.017176783166157124,RF150
0.08851118867878194,0.14697137979960873,0.017124730951175362,RF200
0.09023988190357936,0.14630577281191914,0.01704361962353836,RF25
0.08894181840793401,0.1473533201797281,0.017167945670048677,RF300
0.08818702893964485,0.14624270639354656,0.01704690752381488,RF50
