mse_test,mae_test,mape_test,Model
170433.02674115464,116.69087523277466,0.2441572414630022,DT
169144.04029775574,117.96083758332638,0.27997961664920296,DT10
169246.1746876821,117.75826106233927,0.24495487569032706,DT15
169036.91675754197,116.95143389199255,0.24502390634196003,DT20
170433.02674115464,116.69087523277466,0.2441572414630022,DT25
170433.02674115464,116.69087523277466,0.2441572414630022,DT30
222432.43413589327,162.79993874406327,0.809213138571664,DT5
534468.3236746762,171.78407914338916,0.2701130361788174,RF10
613936.0709699615,180.83996372040414,0.2677868724370739,RF100
596910.529233457,182.22332664863518,0.27152430145846207,RF150
629340.0858214884,185.6514434028691,0.27323811225409367,RF200
654905.714064301,186.1984294049837,0.26100974364541973,RF25
627768.3283510866,186.1664691660998,0.27292293252196226,RF300
646843.8367821396,185.49840833998428,0.267340397787636,RF50
