mse_test,mae_test,mape_test,Model
0.06540025015634772,0.07529706066291433,0.043916038444417715,DT
0.05944102774488987,0.07033684026803033,0.04141033820543936,DT10
0.06431983336628239,0.07368926307496786,0.04302892490703283,DT15
0.06502171496073934,0.07467166979362101,0.04358026870343854,DT20
0.06540025015634772,0.07529706066291433,0.043916038444417715,DT25
0.06540025015634772,0.07529706066291433,0.043916038444417715,DT30
0.031225445503017046,0.07302477738214645,0.04818503100066523,DT5
0.10841872424614137,0.24337110107879925,278586953673345.84,LR
0.2448450037430058,0.26241020599142045,4594905546342.274,NN.10
0.5527036809628068,0.40783044845337574,1646885031088.291,NN.10.10
1.6124838931478245,0.7852205942019496,528773692846.08344,NN.10.10.5.5
0.6971945592248577,0.4652339961883587,1255421073975.6123,NN.10.5
0.39294526570696225,0.33729924712268367,13416886948652.18,NN.20
0.19968703545969255,0.2296026621404652,1489558584514.1555,NN.20.10
1.1801425457911157,0.5955695371572055,1712335222780.4453,NN.20.10.10.5
0.2776422406421224,0.27167210880897724,1034052460190.6266,NN.20.10.5
1.3367435297638124,0.701977940396248,1007312725787.0717,NN.20.20.20.20
0.9392372337305122,0.5847885507879761,1029768882141.6888,NN.5
1.9501620509293627,0.8821586309690689,1061673841283.3867,NN.5.5
0.04674377409492044,0.06773900354388161,0.039681137108025885,RF10
0.04614898398563658,0.0686608996694363,0.0401831120397781,RF100
0.04609594721842835,0.06878953462977859,0.04025304475875676,RF150
0.046083756506747724,0.06865849452038485,0.04022755323215233,RF200
0.04684286399397867,0.06929698025551685,0.04040472437650273,RF25
0.0461936112474067,0.06862319463884516,0.04020337233013724,RF300
0.046503097078999196,0.06905841746329551,0.04037144634920974,RF50
0.1057062141707802,0.23706019692438604,261491340082486.6,RIDGE
0.14571991584798294,0.19800687141980242,124426149311601.3,SVR
