mse_test,mae_test,mape_test,Model
2353052.276064728,202.23918073796122,0.19473330888997575,DT
3370551.924365736,251.12772149619832,0.507784574186006,DT10
2693590.73572612,208.63838461630985,0.2093368184700196,DT15
2796952.6368961073,215.10318920916484,0.19976054060211434,DT20
2672345.2286288305,202.29171357098187,0.2037853151582437,DT25
2353052.276064728,202.23918073796122,0.19473330888997575,DT30
4641135.170609209,705.8967270665681,5.358486207617307,DT5
10097799.531913696,1415.2028142589118,25.086886400833276,LR
20484727.464223575,1295.9272076629193,0.6868054489354259,NN.10
20281994.504485812,1263.8091500673725,0.5962475205953651,NN.10.10
19904537.729349364,1216.8387263386603,0.5014414944867691,NN.10.10.5.5
20373267.678354606,1277.6225766335765,0.641526718524595,NN.10.5
20456642.612243652,1291.0927511915888,0.6693508785712362,NN.20
20150492.960608188,1246.2219155834493,0.5454842073012244,NN.20.10
19260305.950426627,1159.7675817076752,0.44318222915616423,NN.20.10.10.5
19923791.748752218,1217.9042003359625,0.49105724242301263,NN.20.10.5
18267530.791926723,1077.4327777341875,0.3839488793560357,NN.20.20.20.20
20528283.06172121,1304.1664200282678,0.7154120235269718,NN.5
20454523.0274944,1291.313435726109,0.6770186952204971,NN.5.5
2798456.1283687293,266.6418305711903,0.2403166797175976,RF10
2991890.956845174,257.96154733911084,0.2222011789874825,RF100
3006300.72188889,258.26290474751113,0.22707855801416765,RF150
3000955.9859714233,259.509839402479,0.2272421901357596,RF200
2848299.7165189018,267.86761853837214,0.2365415960973981,RF25
2972560.8903786,259.05083471010295,0.22658907201589742,RF300
2931149.31503162,258.3742113672235,0.22610904980311544,RF50
10041819.927621955,1400.324376189802,24.174303648792243,RIDGE
19577764.833916076,1196.55422026857,1.421987822329146,SVR
