mse_test,mae_test,mape_test,Model
0.12716269841269842,0.09543650793650793,0.05669680543975658,DT
0.12695435298773247,0.09513157894736841,0.05627362765912266,DT10
0.12720238095238093,0.09583333333333334,0.057102957929242394,DT15
0.12716269841269842,0.09543650793650793,0.05669680543975658,DT20
0.12716269841269842,0.09543650793650793,0.05669680543975658,DT25
0.12716269841269842,0.09543650793650793,0.05669680543975658,DT30
0.07031702717760142,0.08403495828741274,0.051017111178467044,DT5
0.08276022743899147,0.08586961451247166,0.05149127695687986,RF10
0.0866971370895084,0.08927382369614507,0.05296418860448682,RF100
0.086428035004899,0.08937109473418992,0.053002420426438164,RF150
0.08606636959147396,0.08923650085034014,0.052912473516143255,RF200
0.08359849340280028,0.08708280423280425,0.052002843993151394,RF25
0.08538535759386072,0.08886510902200402,0.052754786409445885,RF300
0.08646624635541521,0.08849164777021921,0.052636402684996066,RF50
