mse_test,mae_test,mape_test,Model
5.1509161595672746,1.1842461122379986,0.05876174412739032,DT
7.199929515457732,1.5199328563571495,0.06555750086925254,DT10
4.957155896989438,1.1640892485414636,0.05779226702591967,DT15
5.121239693674404,1.1744534595447378,0.058719699212670874,DT20
5.212785665990533,1.190128465179175,0.05891163778627845,DT25
5.1509161595672746,1.1842461122379986,0.05876174412739032,DT30
41.839398259535685,3.8705937018503938,0.1385848110439555,DT5
3.2281107888868195,1.0478044206188222,0.05088703918759097,RF10
2.8071071520731112,0.9758183239962644,0.04944460965754,RF100
2.792145421396734,0.9716971049722579,0.04932992006967846,RF150
2.7628478572142665,0.9703597868841037,0.049247554369008927,RF200
2.991400501212071,0.9942615473775719,0.049638287155950624,RF25
2.7625215069746094,0.9710783581248613,0.04926393749259248,RF300
2.9041155577505733,0.9866752873563213,0.049589882925527844,RF50
