mse_test,mae_test,mape_test,Model
0.0695131845841785,0.07917511832319135,0.0461957917143224,DT
0.06690999329030174,0.07619786741978668,0.04360655269522379,DT10
0.06920165767456408,0.07859557616149909,0.04556831282443488,DT15
0.06938810006761326,0.07910750507099391,0.046055654254728635,DT20
0.0695131845841785,0.07917511832319135,0.0461957917143224,DT25
0.0695131845841785,0.07917511832319135,0.0461957917143224,DT30
0.03153372882229999,0.07232905425997606,0.047241745374691745,DT5
0.04766666683991604,0.07137435203966645,0.041637381226161466,RF10
0.04953446334165628,0.07150233560857297,0.041561072262947314,RF100
0.049367531858619286,0.07173285771524453,0.041674287246971635,RF150
0.04945834065480697,0.07181772392865203,0.04166278816125105,RF200
0.04938613314387824,0.07198758813870376,0.0417633519045127,RF25
0.049617047103274074,0.07187954672290382,0.04178783360959082,RF300
0.04873581322820442,0.07107340491752256,0.04136532300021404,RF50
