mse_test,mae_test,mape_test,Model
0.4513293650793651,0.2105158730158733,0.13368177218234747,DT
0.421447131455953,0.2014723481985389,0.12740388560684182,DT10
0.45321428571428574,0.21230158730158755,0.13530042469385714,DT15
0.4513293650793651,0.2105158730158733,0.13368177218234747,DT20
0.4513293650793651,0.2105158730158733,0.13368177218234747,DT25
0.4513293650793651,0.2105158730158733,0.13368177218234747,DT30
0.22485305428265967,0.19740378007126735,0.1827138889379826,DT5
0.31010188100749553,0.19092493386243395,0.11622938211854532,RF10
0.2970138022923865,0.1902999149659876,0.11648099975350663,RF100
0.2945990406817463,0.18900009763164624,0.1163692216152535,RF150
0.293036394560626,0.18846452428193472,0.11642539472235096,RF200
0.298010134930893,0.19039786470143646,0.11700255538816058,RF25
0.29434133142823177,0.18864241806290336,0.11669312653122281,RF300
0.29611508131955705,0.18909445389266874,0.11604111181375674,RF50
