mse_test,mae_test,mape_test,Model
0.07012339418526024,0.09178498985801437,0.013836256088778177,DT
0.062164051527771234,0.08876905255576434,0.013841485554022226,DT10
0.07007901244789098,0.09227921053479082,0.013979892596153327,DT15
0.07036004056795124,0.09212305611900151,0.01391758105828172,DT20
0.07012339418526024,0.09178498985801437,0.013836256088778177,DT25
0.07012339418526024,0.09178498985801437,0.013836256088778177,DT30
0.0522789332240207,0.09951553917877948,0.017482829123450328,DT5
0.04901687786417252,0.08423923822402564,0.01321187541438538,RF10
0.04930540451095603,0.08386675842751244,0.013060881049333882,RF100
0.04905413396524113,0.08343784839606883,0.012950533975390687,RF150
0.04901167318243674,0.08325047087801285,0.012913228943797405,RF200
0.04944336246124493,0.08452807237837673,0.013249034933779746,RF25
0.04880011071256409,0.08287370112796377,0.012846168680179784,RF300
0.04878844104667898,0.08361476544640904,0.013028237389725207,RF50
